,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
0,1,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
1,2,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
2,3,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
3,4,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
4,5,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
5,6,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
6,7,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
7,8,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5799999976158142,0.6971428591864449
8,9,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5599999976158142,0.6999999996594021
9,10,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.5400000095367432,0.6914285738127572
10,50,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.62,0.7057142853736877
11,100,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.62,0.7057142853736877
12,150,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6600000095367432,0.7142857163293022
13,200,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6600000095367432,0.7114285734721593
14,250,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6600000095367432,0.7142857163293022
15,300,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6600000095367432,0.719999999659402
16,350,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6400000095367432,0.7171428568022592
17,400,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6400000095367432,0.7171428568022592
18,500,350,128,tanh,0.3,64,tanh,0.2,32,tanh,0.1,2,sigmoid,categorical_crossentropy,rmsprop,0.6799999976158142,0.7228571425165449
